step   first_run   mean_reward_runs   std_reward_runs   percentage_opt_action
494 1 0.855863 0.217789 0.12
495 0.620319 0.859042 0.217355 0.1185
496 0.885372 0.852155 0.226242 0.108
497 0.939085 0.847184 0.2266 0.11
498 1 0.84724 0.227155 0.1105
499 0.779656 0.849155 0.224107 0.1135
500 1 0.853386 0.222784 0.117
501 1 0.853545 0.222935 0.105
502 0.909146 0.853889 0.222413 0.1105
503 1 0.84965 0.226237 0.1105
504 0.921293 0.851232 0.224024 0.1235
505 1 0.853637 0.224294 0.119
506 1 0.851359 0.223767 0.1095
507 0.636341 0.852442 0.224544 0.1145
508 1 0.85029 0.224869 0.1105
509 0.42204 0.842951 0.228282 0.1115
510 0.943022 0.856098 0.220075 0.1275
511 1 0.85951 0.215321 0.1195
512 0.57857 0.852064 0.215635 0.1075
513 1 0.853467 0.221733 0.1135
514 1 0.844642 0.227156 0.1015
515 1 0.854291 0.217986 0.123
516 1 0.856511 0.216795 0.123
517 1 0.856601 0.219504 0.1255
518 1 0.852054 0.225767 0.1155
519 1 0.859337 0.211681 0.113
520 1 0.860224 0.216708 0.1165
521 0.389416 0.854908 0.221737 0.117
522 0.590747 0.846574 0.225637 0.1185
523 1 0.850372 0.219279 0.1195
524 1 0.862849 0.212958 0.121
525 1 0.851146 0.222625 0.107
526 0.644337 0.849229 0.226887 0.1255
527 1 0.85236 0.21927 0.1075
528 0.604297 0.844109 0.229332 0.118
529 0.697348 0.851005 0.221972 0.113
530 1 0.858273 0.218484 0.111
531 1 0.851239 0.220651 0.1185
532 1 0.851973 0.222437 0.122
533 0.835719 0.857252 0.215167 0.12
534 0.592212 0.84733 0.228287 0.117
535 1 0.862175 0.216005 0.13
536 0.949461 0.855936 0.217054 0.1185
537 0.876003 0.855879 0.221181 0.12
538 0.391705 0.859231 0.214389 0.12
539 0.987457 0.861207 0.218252 0.109
540 1 0.842061 0.230032 0.1065
541 1 0.850212 0.224365 0.121
542 0.57445 0.847792 0.225424 0.1055
543 1 0.853289 0.218161 0.1335
544 0.627338 0.851147 0.22817 0.131
545 1 0.853689 0.225161 0.1125
546 1 0.850435 0.221463 0.1125
547 1 0.862659 0.214591 0.1315
548 1 0.859876 0.217286 0.105
549 1 0.84781 0.229794 0.105
550 0.895322 0.856304 0.221883 0.12
551 0.710196 0.851274 0.222953 0.112
552 0.728446 0.856884 0.215682 0.122
553 0.896054 0.850844 0.223631 0.117
554 1 0.854088 0.217478 0.1135
555 1 0.862742 0.211135 0.128
556 0.903867 0.857819 0.216845 0.103
557 1 0.850505 0.2222 0.1175
558 1 0.847243 0.225253 0.112
559 1 0.862068 0.215432 0.1065
560 1 0.844733 0.228856 0.106
561 1 0.850014 0.220492 0.103
562 0.745354 0.85519 0.223339 0.1205
563 1 0.864669 0.209796 0.117
564 0.739433 0.857931 0.215862 0.1345
565 1 0.855065 0.220383 0.1165
566 1 0.865881 0.214925 0.1235
567 0.272591 0.854808 0.219847 0.1155
568 0.680441 0.850206 0.22285 0.1225
569 0.91113 0.853976 0.225071 0.1165
570 1 0.858119 0.219235 0.119
571 0.517655 0.856704 0.215367 0.118
572 1 0.848669 0.228667 0.115
573 0.907437 0.844256 0.23352 0.1065
574 1 0.858356 0.218963 0.117
575 1 0.849753 0.229267 0.1215
576 0.654836 0.857426 0.218352 0.1185
577 1 0.854822 0.221439 0.116
578 1 0.856156 0.223708 0.121
579 1 0.852694 0.22422 0.12
580 1 0.855452 0.219054 0.124
581 0.0757775 0.842189 0.230714 0.112
582 1 0.857138 0.217041 0.112
583 1 0.855317 0.21862 0.1075
584 1 0.85346 0.220859 0.136
585 0.697287 0.853061 0.223846 0.111
586 1 0.848796 0.227872 0.119
587 1 0.850217 0.226697 0.115
588 1 0.851344 0.220259 0.1115
589 1 0.843332 0.228486 0.1015
590 0.724937 0.850656 0.224339 0.1235
591 1 0.847 0.226048 0.11
592 0.694021 0.851436 0.222574 0.122
593 1 0.854144 0.22357 0.111
594 1 0.847664 0.224973 0.095
595 1 0.855787 0.224733 0.1075
596 1 0.855716 0.220027 0.1165
597 0.545366 0.85746 0.215037 0.1265
598 1 0.851916 0.230641 0.1115
599 0.974578 0.850147 0.223786 0.114
600 0.464034 0.857347 0.215884 0.116
601 0.96997 0.847868 0.229966 0.111
602 0.727866 0.845814 0.22944 0.12
603 1 0.85113 0.221479 0.1085
604 1 0.856128 0.223053 0.1215
605 0.692801 0.848243 0.22967 0.121
606 0.372112 0.853268 0.220273 0.1125
607 1 0.852551 0.224252 0.1185
608 1 0.847735 0.226771 0.111
609 0.809778 0.855354 0.217545 0.1155
610 1 0.86331 0.211698 0.118
611 1 0.849112 0.223896 0.112
612 1 0.852703 0.222175 0.102
613 0.784478 0.848197 0.224085 0.132
614 1 0.858493 0.217129 0.122
615 0.321909 0.85427 0.219444 0.1175
616 0.484664 0.858195 0.220618 0.1235
617 0.00915555 0.861349 0.220067 0.1225
618 1 0.850985 0.222999 0.114
619 1 0.854631 0.222853 0.126
620 0.605945 0.856414 0.222654 0.129
621 1 0.85589 0.214752 0.097
622 1 0.847781 0.225678 0.1235
623 1 0.852267 0.225173 0.1155
624 0.842647 0.846508 0.2285 0.1105
625 0.94232 0.850809 0.224703 0.113
626 0.62331 0.855942 0.21862 0.13
627 0.997284 0.850178 0.223143 0.1195
628 1 0.851937 0.223963 0.1325
629 1 0.853078 0.223101 0.1275
630 0.863552 0.858203 0.225455 0.124
631 1 0.859747 0.219343 0.119
632 1 0.858299 0.220792 0.113
633 1 0.845913 0.228242 0.1085
634 1 0.851623 0.227646 0.1095
635 1 0.855064 0.227786 0.119
636 1 0.855516 0.218801 0.1225
637 1 0.85888 0.217946 0.1215
